Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A meta-analysis of the exchange hazards–interfirm governance relationship: An informal institutions perspective","Journal of International Business Studies","","49","3","10.1057/s41267-017-0144-2","Zhi CaoYuan LiJayanth JayaramYi LiuFabrice Lumineau","2018","http://link.springer.com/article/10.1057/s41267-017-0144-2","Article"
"Drivers of institutional change around the world: The case of IFRS","Journal of International Business Studies","","49","3","10.1057/s41267-017-0123-7","Miriam KoningGerard MertensPeter Roosenboom","2018","http://link.springer.com/article/10.1057/s41267-017-0123-7","Article"
"Correction to: Policy uncertainty, derivatives use, and firm-level FDI","Journal of International Business Studies","","49","2","10.1057/s41267-017-0124-6","Quang NguyenTrang KimMarina Papanastassiou","2018","http://link.springer.com/article/10.1057/s41267-017-0124-6","Article"
"Correction to: Anonymous shell companies: A global audit study and field experiment in 176 countries","Journal of International Business Studies","","49","2","10.1057/s41267-017-0135-3","Brent B AllredMichael G FindleyDaniel NielsonJ C Sharman","2018","http://link.springer.com/article/10.1057/s41267-017-0135-3","Article"
"State ownership and transparency in foreign direct investment","Journal of International Business Studies","","49","2","10.1057/s41267-017-0117-5","Anthony P CannizzaroRobert J Weiner","2018","http://link.springer.com/article/10.1057/s41267-017-0117-5","Article"
"Exporting and innovating among emerging market firms: The moderating role of institutional development","Journal of International Business Studies","","49","2","10.1057/s41267-017-0118-4","Zhenzhen XieJiatao Li","2018","http://link.springer.com/article/10.1057/s41267-017-0118-4","Article"
"Does hometown advantage matter? The case of institutional blockholder monitoring on earnings management in Korea","Journal of International Business Studies","","49","2","10.1057/s41267-017-0093-9","Chang LiuChune Young ChungHong Kee SulKainan Wang","2018","http://link.springer.com/article/10.1057/s41267-017-0093-9","Article"
"Risk propensity in the foreign direct investment location decision of emerging multinationals","Journal of International Business Studies","","49","2","10.1057/s41267-017-0126-4","Peter J BuckleyLiang ChenL Jeremy CleggHinrich Voss","2018","http://link.springer.com/article/10.1057/s41267-017-0126-4","Article"
"A general theory of springboard MNEs","Journal of International Business Studies","","49","2","10.1057/s41267-017-0114-8","Yadong LuoRosalie L Tung","2018","http://link.springer.com/article/10.1057/s41267-017-0114-8","Article"
"Erratum to: An architectural framework for global talent management","Journal of International Business Studies","","49","1","10.1057/s41267-017-0103-y","Shad MorrisScott SnellIngmar Björkman","2018","http://link.springer.com/article/10.1057/s41267-017-0103-y","Article"
"The JIBS 2017 Decade Award: The determinants of Chinese outward foreign direct investment","Journal of International Business Studies","","49","1","10.1057/s41267-017-0130-8","Alain Verbeke","2018","http://link.springer.com/article/10.1057/s41267-017-0130-8","Article"
"Tax havens and disclosure aggregation","Journal of International Business Studies","","49","1","10.1057/s41267-017-0084-x","Herita AkamahOle-Kristian HopeWayne B Thomas","2018","http://link.springer.com/article/10.1057/s41267-017-0084-x","Article"
"What’s theoretically novel about emerging-market multinationals?","Journal of International Business Studies","","49","1","10.1057/s41267-017-0131-7","Exequiel HernandezMauro F Guillén","2018","http://link.springer.com/article/10.1057/s41267-017-0131-7","Article"
"What is “Chinese” about Chinese multinationals?","Journal of International Business Studies","","49","1","10.1057/s41267-017-0128-2","Ravi RamamurtiJenny Hillemann","2018","http://link.springer.com/article/10.1057/s41267-017-0128-2","Article"
"Policy uncertainty, derivatives use, and firm-level FDI","Journal of International Business Studies","","49","1","10.1057/s41267-017-0090-z","Quang NguyenTrang KimMarina Papanastassiou","2018","http://link.springer.com/article/10.1057/s41267-017-0090-z","Article"
"Firm capabilities, technological dynamism and the internationalisation of innovation: A behavioural approach","Journal of International Business Studies","","49","1","10.1057/s41267-017-0101-0","Torben SchubertElisabeth BaierChristian Rammer","2018","http://link.springer.com/article/10.1057/s41267-017-0101-0","Article"
"A retrospective and agenda for future research on Chinese outward foreign direct investment","Journal of International Business Studies","","49","1","10.1057/s41267-017-0129-1","Peter J BuckleyL Jeremy CleggHinrich VossAdam R CrossXin LiuPing Zheng","2018","http://link.springer.com/article/10.1057/s41267-017-0129-1","Article"
"Footnotes on JIBS 1970–2016","Journal of International Business Studies","","48","9","10.1057/s41267-017-0127-3","Alain VerbekeAngelito Calma","2017","http://link.springer.com/article/10.1057/s41267-017-0127-3","Article"
"List of Guest Editors","Journal of International Business Studies","","48","9","10.1057/s41267-017-0106-8","","2017","http://link.springer.com/article/10.1057/s41267-017-0106-8","Article"
"Author and Keyword Indexes for Volume 48","Journal of International Business Studies","","48","9","10.1057/s41267-017-0133-5","","2017","http://link.springer.com/article/10.1057/s41267-017-0133-5","Article"
"Adapting the Uppsala model to a modern world: Macro-context and microfoundations","Journal of International Business Studies","","48","9","10.1057/s41267-017-0120-x","Nicole CovielloLiena KanoPeter W Liesch","2017","http://link.springer.com/article/10.1057/s41267-017-0120-x","Article"
"MNE internationalization patterns, the roles of knowledge stocks, and the portfolio of MNE subsidiaries","Journal of International Business Studies","","48","9","10.1057/s41267-017-0105-9","Thomas HutzschenreuterTanja Matt","2017","http://link.springer.com/article/10.1057/s41267-017-0105-9","Article"
"Towards a renaissance in international business research? Big questions, grand challenges, and the future of IB scholarship","Journal of International Business Studies","","48","9","10.1057/s41267-017-0102-z","Peter J BuckleyJonathan P DohMirko H Benischke","2017","http://link.springer.com/article/10.1057/s41267-017-0102-z","Article"
"The ‘Casino Model’ of internationalization: An alternative Uppsala paradigm","Journal of International Business Studies","","48","9","10.1057/s41267-017-0113-9","Lars HåkansonPhilip Kappen","2017","http://link.springer.com/article/10.1057/s41267-017-0113-9","Article"
"Internationalization as an evolutionary process","Journal of International Business Studies","","48","9","10.1057/s41267-017-0119-3","Grazia D SantangeloKlaus E Meyer","2017","http://link.springer.com/article/10.1057/s41267-017-0119-3","Article"
"From internationalization to evolution: The Uppsala model at 40 years","Journal of International Business Studies","","48","9","10.1057/s41267-017-0107-7","Jan-Erik VahlneJan Johanson","2017","http://link.springer.com/article/10.1057/s41267-017-0107-7","Article"
"The effects of market economy type and foreign MNE subsidiaries on the convergence and divergence of HRM","Journal of International Business Studies","","48","9","10.1057/s41267-017-0094-8","Elaine FarndaleChris BrewsterPaul LigthartErik Poutsma","2017","http://link.springer.com/article/10.1057/s41267-017-0094-8","Article"
"I hate where it comes from but I still buy it: Countervailing influences of animosity and nostalgia","Journal of International Business Studies","","48","8","10.1057/s41267-017-0097-5","Justina GineikieneAdamantios Diamantopoulos","2017","http://link.springer.com/article/10.1057/s41267-017-0097-5","Article"
"Explicit versus implicit country stereotypes as predictors of product preferences: Insights from the stereotype content model","Journal of International Business Studies","","48","8","10.1057/s41267-017-0085-9","Adamantios DiamantopoulosArnd FlorackGeorgios HalkiasJohanna Palcu","2017","http://link.springer.com/article/10.1057/s41267-017-0085-9","Article"
"Liability of foreignness, natural disasters, and corporate philanthropy","Journal of International Business Studies","","48","8","10.1057/s41267-017-0104-x","Murad A Mithani","2017","http://link.springer.com/article/10.1057/s41267-017-0104-x","Article"
"The influence of global and local iconic brand positioning on advertising persuasion in an emerging market setting","Journal of International Business Studies","","48","8","10.1057/s41267-017-0071-2","Martin HeinbergH Erkan OzkayaMarkus Taube","2017","http://link.springer.com/article/10.1057/s41267-017-0071-2","Article"
"Asia’s materialists: Reconciling collectivism and materialism","Journal of International Business Studies","","48","8","10.1057/s41267-017-0096-6","Sandra AwanisBodo B SchlegelmilchCharles Chi Cui","2017","http://link.springer.com/article/10.1057/s41267-017-0096-6","Article"
"Wait-and-see strategy: Risk management in the internationalization process model","Journal of International Business Studies","","48","8","10.1057/s41267-017-0110-z","James E ClarkePeter W Liesch","2017","http://link.springer.com/article/10.1057/s41267-017-0110-z","Article"
"Dodging bullets: The heterogeneous effect of political violence on greenfield FDI","Journal of International Business Studies","","48","7","10.1057/s41267-017-0079-7","Caroline T WitteMartijn J BurgerElena I IanchovichinaEnrico Pennings","2017","http://link.springer.com/article/10.1057/s41267-017-0079-7","Article"
"Patent protection and the composition of multinational activity: Evidence from US multinational firms","Journal of International Business Studies","","48","7","10.1057/s41267-017-0100-1","Olena IvusWalter G ParkKamal Saggi","2017","http://link.springer.com/article/10.1057/s41267-017-0100-1","Article"
"Deconstructing the liability of foreignness: Regulatory enforcement actions against foreign banks","Journal of International Business Studies","","48","7","10.1057/s41267-017-0092-x","Zheying WuRobert Salomon","2017","http://link.springer.com/article/10.1057/s41267-017-0092-x","Article"
"An institution-based view of global IPR history","Journal of International Business Studies","","48","7","10.1057/s41267-016-0061-9","Mike W PengDavid AhlstromShawn M CarraherWeilei (Stone) Shi","2017","http://link.springer.com/article/10.1057/s41267-016-0061-9","Article"
"China and intellectual property rights: A challenge to the rule of law","Journal of International Business Studies","","48","7","10.1057/s41267-017-0087-7","James A BranderVictor CuiIlan Vertinsky","2017","http://link.springer.com/article/10.1057/s41267-017-0087-7","Article"
"Managing valuable knowledge in weak IP protection countries","Journal of International Business Studies","","48","7","10.1057/s41267-017-0072-1","Heather Berry","2017","http://link.springer.com/article/10.1057/s41267-017-0072-1","Article"
"The myth of the stay-at-home family firm: How family-managed SMEs can overcome their internationalization limitations","Journal of International Business Studies","","","","10.1057/s41267-017-0091-y","Jean-François HennartAntonio MajocchiEmanuele Forlani","2017","http://link.springer.com/article/10.1057/s41267-017-0091-y","Article"
"National culture: The missing country-level determinant of corporate governance","Journal of International Business Studies","","48","6","10.1057/s41267-017-0069-9","Dale GriffinOmrane GuedhamiChuck C Y KwokKai LiLiang Shao","2017","http://link.springer.com/article/10.1057/s41267-017-0069-9","Article"
"When is traditionalism an asset and when is it a liability for team innovation? A two-study empirical examination","Journal of International Business Studies","","48","6","10.1057/s41267-017-0075-y","Laura HuangCristina B GibsonBradley L KirkmanDebra L Shapiro","2017","http://link.springer.com/article/10.1057/s41267-017-0075-y","Article"
"Conservatism and international IPO underpricing","Journal of International Business Studies","","48","6","10.1057/s41267-016-0054-8","Thomas J BoultonScott B SmartChad J Zutter","2017","http://link.springer.com/article/10.1057/s41267-016-0054-8","Article"
"Navigating identity duality in multinational subsidiaries: A paradox lens on identity claims at Hindustan Unilever 1959–2015","Journal of International Business Studies","","48","6","10.1057/s41267-017-0076-x","Anirvan PantJ Ramachandran","2017","http://link.springer.com/article/10.1057/s41267-017-0076-x","Article"
"Foreign competition, domestic competition and innovation in Chinese private high-tech new ventures","Journal of International Business Studies","","48","6","10.1057/s41267-017-0083-y","Tianjiao XiaXiaohui Liu","2017","http://link.springer.com/article/10.1057/s41267-017-0083-y","Article"
"Science’s reproducibility and replicability crisis: International business is not immune","Journal of International Business Studies","","48","6","10.1057/s41267-017-0081-0","Herman AguinisWayne F. CascioRavi S. Ramani","2017","http://link.springer.com/article/10.1057/s41267-017-0081-0","Article"
"How foreign language affects decisions: Rethinking the brain-drain model","Journal of International Business Studies","","48","5","10.1057/s41267-016-0040-1","Constantinos HadjichristidisJanet GeipelLuca Surian","2017","http://link.springer.com/article/10.1057/s41267-016-0040-1","Article"
"Real options and institutions","Journal of International Business Studies","","48","5","10.1057/s41267-016-0055-7","Han SmitEnrico PenningsSjoerd van Bekkum","2017","http://link.springer.com/article/10.1057/s41267-016-0055-7","Article"
"What’s in a p? Reassessing best practices for conducting and reporting hypothesis-testing research","Journal of International Business Studies","","48","5","10.1057/s41267-017-0078-8","Klaus E MeyerArjen van WitteloostuijnSjoerd Beugelsdijk","2017","http://link.springer.com/article/10.1057/s41267-017-0078-8","Article"
"CEO international experience: Effects on strategic change and firm performance","Journal of International Business Studies","","48","5","10.1057/s41267-017-0080-1","Son LeMark Kroll","2017","http://link.springer.com/article/10.1057/s41267-017-0080-1","Article"
"Anonymous shell companies: A global audit study and field experiment in 176 countries","Journal of International Business Studies","","48","5","10.1057/s41267-016-0047-7","Brent B AllredMichael G FindleyDaniel NielsonJ C Sharman","2017","http://link.springer.com/article/10.1057/s41267-016-0047-7","Article"
"Contextualizing leadership: a typology of global leadership roles","Journal of International Business Studies","","48","5","10.1057/s41267-016-0030-3","B. Sebastian ReicheAllan BirdMark E. MendenhallJoyce S. Osland","2017","http://link.springer.com/article/10.1057/s41267-016-0030-3","Article"
"Erratum to: The past is prologue: Moving on from Culture’s Consequences","Journal of International Business Studies","","48","4","10.1057/s41267-017-0065-0","Timothy M. DevinneyJan Hohberger","2017","http://link.springer.com/article/10.1057/s41267-017-0065-0","Article"
"The management of political risk","Journal of International Business Studies","","48","4","10.1057/s41267-016-0058-4","Erasmo GiambonaJohn R GrahamCampbell R Harvey","2017","http://link.springer.com/article/10.1057/s41267-016-0058-4","Article"
"A time-based process model of international entrepreneurial opportunity evaluation","Journal of International Business Studies","","48","4","10.1057/s41267-017-0068-x","Yanto Chandra","2017","http://link.springer.com/article/10.1057/s41267-017-0068-x","Article"
"Beyond categorization: New directions for theory development about entrepreneurial internationalization","Journal of International Business Studies","","48","4","10.1057/s41267-017-0070-3","A Rebecca ReuberPavlos DimitratosOlli Kuivalainen","2017","http://link.springer.com/article/10.1057/s41267-017-0070-3","Article"
"Institutional fragility and outward foreign direct investment from China","Journal of International Business Studies","","48","4","10.1057/s41267-016-0050-z","Weilei (Stone) ShiSunny Li SunDaying YanZhu Zhu","2017","http://link.springer.com/article/10.1057/s41267-016-0050-z","Article"
"Foreignness as both a global asset and a local liability: How host country idiosyncrasies and business activities matter","Journal of International Business Studies","","48","4","10.1057/s41267-016-0032-1","Markus Taussig","2017","http://link.springer.com/article/10.1057/s41267-016-0032-1","Article"
"Creditor protection laws, debt financing, and corporate investment over the business cycle","Journal of International Business Studies","","48","4","10.1057/s41267-016-0016-1","Yaxuan QiLukas RothJohn Wald","2017","http://link.springer.com/article/10.1057/s41267-016-0016-1","Article"
"List of Reviewers for this Special Issue","Journal of International Business Studies","","48","3","10.1057/s41267-017-0073-0","F. Brihmat-Hamadi","2017","http://link.springer.com/article/10.1057/s41267-017-0073-0","Article"
"Overcoming institutional voids via arbitration","Journal of International Business Studies","","48","3","10.1057/s41267-016-0026-z","Brian C PinkhamMike W Peng","2017","http://link.springer.com/article/10.1057/s41267-016-0026-z","Article"
"The effects of information voids on capital flows in emerging markets","Journal of International Business Studies","","48","3","10.1057/s41267-016-0056-6","Allison F KingsleyBenjamin A T Graham","2017","http://link.springer.com/article/10.1057/s41267-016-0056-6","Article"
"Escaping the iron cage: Liabilities of origin and CSR reporting of emerging market multinational enterprises","Journal of International Business Studies","","48","3","10.1057/jibs.2016.17","Valentina MaranoPeter TashmanTatiana Kostova","2017","http://link.springer.com/article/10.1057/jibs.2016.17","Article"
"Filling institutional voids in emerging economies: The impact of capital market development and business groups on M&A deal abandonment","Journal of International Business Studies","","48","3","10.1057/s41267-016-0025-0","Hyejun KimJaeyong Song","2017","http://link.springer.com/article/10.1057/s41267-016-0025-0","Article"
"Country-level institutions, firm value, and the role of corporate social responsibility initiatives","Journal of International Business Studies","","48","3","10.1057/jibs.2016.4","Sadok El GhoulOmrane GuedhamiYongtae Kim","2017","http://link.springer.com/article/10.1057/jibs.2016.4","Article"
"International business responses to institutional voids","Journal of International Business Studies","","48","3","10.1057/s41267-017-0074-z","Jonathan DohSuzana RodriguesAyse Saka-HelmhoutMona Makhija","2017","http://link.springer.com/article/10.1057/s41267-017-0074-z","Article"
"AUTHOR INDEX TO VOLUME 47","Journal of International Business Studies","","48","1","10.1057/s41267-016-0064-6","","2017","http://link.springer.com/article/10.1057/s41267-016-0064-6","Article"
"Foreign independent directors and the quality of legal institutions","Journal of International Business Studies","","48","2","10.1057/s41267-016-0033-0","Mihail MiletkovAnnette PoulsenM. Babajide Wintoki","2017","http://link.springer.com/article/10.1057/s41267-016-0033-0","Article"
"Creditor rights, claims enforcement, and bond performance in mergers and acquisitions","Journal of International Business Studies","","48","2","10.1057/s41267-016-0031-2","Luc RenneboogPeter G. SzilagyiCara Vansteenkiste","2017","http://link.springer.com/article/10.1057/s41267-016-0031-2","Article"
"The governance impact of a changing investor landscape","Journal of International Business Studies","","48","2","10.1057/s41267-016-0043-y","Ruth V. AguileraKurt A. DesenderMónica López-Puertas LamyJun Ho Lee","2017","http://link.springer.com/article/10.1057/s41267-016-0043-y","Article"
"Law, finance, and the international mobility of corporate governance","Journal of International Business Studies","","48","2","10.1057/s41267-016-0063-7","Douglas CummingIgor FilatotchevApril KnillDavid Mitchell ReebLemma Senbet","2017","http://link.springer.com/article/10.1057/s41267-016-0063-7","Article"
"Foreign political connections","Journal of International Business Studies","","48","2","10.1057/s41267-016-0059-3","Elvira SojliWing Wah Tham","2017","http://link.springer.com/article/10.1057/s41267-016-0059-3","Article"
"Sovereign wealth fund investments and the US political process","Journal of International Business Studies","","48","2","10.1057/s41267-016-0057-5","Paul CalluzzoG Nathan DongDavid Godsell","2017","http://link.springer.com/article/10.1057/s41267-016-0057-5","Article"
"Portable country governance and cross-border acquisitions","Journal of International Business Studies","","48","2","10.1057/s41267-016-0029-9","Jesse A EllisSara B MoellerFrederik P SchlingemannRené M Stulz","2017","http://link.springer.com/article/10.1057/s41267-016-0029-9","Article"
"The JIBS 2016 Decade Award: A quarter century of Culture’s Consequences: a review of empirical research incorporating Hofstede’s cultural values framework","Journal of International Business Studies","","48","1","10.1057/s41267-016-0042-z","John CantwellAlain Verbeke","2017","http://link.springer.com/article/10.1057/s41267-016-0042-z","Article"
"Attitudes towards women’s career advancement in Latin America: The moderating impact of perceived company international proactiveness","Journal of International Business Studies","","48","1","10.1057/s41267-016-0039-7","Michel HermansWilliam NewburryMarcelo J. Alvarado-VargasCarlos M. BaldoArmando BordaEdwin G. Durán-ZuritaJosé Maurício Galli GeleilateMassiel GuerraMaria Virginia Lasio MorelloSergio M. Madero-GómezMiguel R. Olivas-LujanAnne Marie Zwerg-Villegas","2017","http://link.springer.com/article/10.1057/s41267-016-0039-7","Article"
"From crossing cultures to straddling them: An empirical examination of outcomes for multicultural employees","Journal of International Business Studies","","48","1","10.1057/s41267-016-0053-9","Stacey R FitzsimmonsYuan LiaoDavid C Thomas","2017","http://link.springer.com/article/10.1057/s41267-016-0053-9","Article"
"Becoming a great reviewer: Four actionable guidelines","Journal of International Business Studies","","48","1","10.1057/s41267-016-0049-5","Alain VerbekeMary Ann Von GlinowYadong Luo","2017","http://link.springer.com/article/10.1057/s41267-016-0049-5","Article"
"A retrospective on Culture’s Consequences: The 35-year journey","Journal of International Business Studies","","48","1","10.1057/s41267-016-0037-9","Bradley L KirkmanKevin B LoweCristina B Gibson","2017","http://link.springer.com/article/10.1057/s41267-016-0037-9","Article"
"Group cultural values and political skills: A situationist perspective on interpersonal citizenship behaviors","Journal of International Business Studies","","48","1","10.1057/s41267-016-0036-x","Ashish MahajanSoo Min Toh","2017","http://link.springer.com/article/10.1057/s41267-016-0036-x","Article"
"The past is prologue: Moving on from Culture’s Consequences","Journal of International Business Studies","","48","1","10.1057/s41267-016-0034-z","Timothy M. DevinneyJan Hohberger","2017","http://link.springer.com/article/10.1057/s41267-016-0034-z","Article"
"An overview of Hofstede-inspired country-level culture research in international business since 2006","Journal of International Business Studies","","48","1","10.1057/s41267-016-0038-8","Sjoerd BeugelsdijkTatiana KostovaKendall Roth","2017","http://link.springer.com/article/10.1057/s41267-016-0038-8","Article"
"Explaining intermittent exporting: Exit and conditional re-entry in export markets","Journal of International Business Studies","","47","9","10.1057/s41267-016-0051-y","Michele BerniniJun DuJames H. Love","2016","http://link.springer.com/article/10.1057/s41267-016-0051-y","Article"
"List of Guest Editors","Journal of International Business Studies","","47","9","10.1057/s41267-016-0046-8","","2016","http://link.springer.com/article/10.1057/s41267-016-0046-8","Article"
"The changing nature of the international business field, and the progress of JIBS","Journal of International Business Studies","","47","9","10.1057/s41267-016-0041-0","John CantwellMary Yoko Brannen","2016","http://link.springer.com/article/10.1057/s41267-016-0041-0","Article"
"A note on the revisited Uppsala internationalization process model – the implications of business networks and entrepreneurship","Journal of International Business Studies","","47","9","10.1057/s41267-016-0014-3","Mats Forsgren","2016","http://link.springer.com/article/10.1057/s41267-016-0014-3","Article"
"Explaining intermittent exporting: Exit and conditional re-entry in export markets","Journal of International Business Studies","","47","9","10.1057/s41267-016-0015-2","Michele BerniniJun DuJames H. Love","2016","http://link.springer.com/article/10.1057/s41267-016-0015-2","Article"
"Failure to Complete Cross-Border M&As: “To” vs. “From” Emerging Markets","Journal of International Business Studies","","47","9","10.1057/s41267-016-0027-y","Chenxi ZhouJinhong XieQi Wang","2016","http://link.springer.com/article/10.1057/s41267-016-0027-y","Article"
"Racing to the bottom and racing to the top: The crucial role of firm characteristics in foreign direct investment choices","Journal of International Business Studies","","47","9","10.1057/s41267-016-0013-4","Maoliang BuMarcus Wagner","2016","http://link.springer.com/article/10.1057/s41267-016-0013-4","Article"
"The market for corporate control and dividend policies: Cross-country evidence from M&A laws","Journal of International Business Studies","","47","9","10.1057/s41267-016-0028-x","Matt GlendeningInder K. KhuranaWei Wang","2016","http://link.springer.com/article/10.1057/s41267-016-0028-x","Article"
"Miners, politics and institutional caryatids: Accounting for the transfer of HRM practices in the Brazilian multinational enterprise","Journal of International Business Studies","","47","8","10.1057/jibs.2016.24","John GearyRoberta Aguzzoli","2016","http://link.springer.com/article/10.1057/jibs.2016.24","Article"
"From the Editors: Can I trust your findings? Ruling out alternative explanations in international business research","Journal of International Business Studies","","47","8","10.1057/s41267-016-0005-4","Alvaro Cuervo-CazurraUlf AnderssonMary Yoko BrannenBo Bernhard NielsenA. Rebecca Reuber","2016","http://link.springer.com/article/10.1057/s41267-016-0005-4","Article"
"Family involvement and firms’ establishment mode choice in foreign markets","Journal of International Business Studies","","47","8","10.1057/jibs.2016.23","Andrea BoellisSergio MariottiAlessandro MinichilliLucia Piscitello","2016","http://link.springer.com/article/10.1057/jibs.2016.23","Article"
"Global standardization or national differentiation of HRM practices in multinational companies? A comparison of multinationals in five countries","Journal of International Business Studies","","47","8","10.1057/s41267-016-0003-6","Tony EdwardsRocío Sánchez-MangasPatrice JaletteJonathan LavelleDana Minbaeva","2016","http://link.springer.com/article/10.1057/s41267-016-0003-6","Article"
"An institutional perspective on the social outcome of entrepreneurship: Commercial microfinance and inclusive markets","Journal of International Business Studies","","47","8","10.1057/jibs.2016.18","Joshua K Ault","2016","http://link.springer.com/article/10.1057/jibs.2016.18","Article"
"Chinese import competition and the provisions for external debt financing in the US","Journal of International Business Studies","","47","8","10.1057/s41267-016-0007-2","Mohammad M Rahaman","2016","http://link.springer.com/article/10.1057/s41267-016-0007-2","Article"
"Strategies of legitimation: MNEs and the adoption of CSR in response to host-country institutions","Journal of International Business Studies","","47","7","10.1057/jibs.2016.19","Nikolas Rathert","2016","http://link.springer.com/article/10.1057/jibs.2016.19","Article"
"Are the extent and effect of psychic distance perceptions symmetrical in cross-border M&As? Evidence from a two-country study","Journal of International Business Studies","","47","7","10.1057/jibs.2016.27","H Emre YildizCarl F Fey","2016","http://link.springer.com/article/10.1057/jibs.2016.27","Article"
"In country we trust? National trust and the governance of international R&D alliances","Journal of International Business Studies","","47","7","10.1057/s41267-016-0006-3","Seok-Woo KwonJerayr HaleblianJohn Hagedoorn","2016","http://link.springer.com/article/10.1057/s41267-016-0006-3","Article"
"Varieties of Capitalism and institutional comparative advantage: A test and reinterpretation","Journal of International Business Studies","","47","7","10.1057/s41267-016-0001-8","Michael A. WittGregory Jackson","2016","http://link.springer.com/article/10.1057/s41267-016-0001-8","Article"
"The changing landscape of JIBS authorship","Journal of International Business Studies","","47","7","10.1057/s41267-016-0004-5","John CantwellAnke PiepenbrinkPallavi ShuklaAlexandra Vo","2016","http://link.springer.com/article/10.1057/s41267-016-0004-5","Article"
"List of Reviewers for this Special Issue","Journal of International Business Studies","","47","6","10.1057/s41267-016-0017-0","","2016","http://link.springer.com/article/10.1057/s41267-016-0017-0","Article"
"Widening the lens: Rethinking distance, diversity, and foreignness in international business research through positive organizational scholarship","Journal of International Business Studies","","47","6","10.1057/jibs.2016.28","Günter K StahlRosalie L TungTatiana KostovaMary Zellmer-Bruhn","2016","http://link.springer.com/article/10.1057/jibs.2016.28","Article"
"The positive role of global leaders in enhancing multicultural team innovation","Journal of International Business Studies","","47","6","10.1057/s41267-016-0002-7","Alon LisakMiriam ErezYang SuiCynthia Lee","2016","http://link.springer.com/article/10.1057/s41267-016-0002-7","Article"
"An architectural framework for global talent management","Journal of International Business Studies","","47","6","10.1057/jibs.2015.25","Shad MorrisScott SnellIngmar Björkman","2016","http://link.springer.com/article/10.1057/jibs.2015.25","Article"
"Job complexity and learning opportunities: A silver lining in the design of global virtual work","Journal of International Business Studies","","47","6","10.1057/jibs.2016.11","Niina NurmiPamela J Hinds","2016","http://link.springer.com/article/10.1057/jibs.2016.11","Article"
"Reconciling the advantages and liabilities of foreignness: Towards an identity-based framework","Journal of International Business Studies","","47","6","10.1057/jibs.2016.29","Jesper Edman","2016","http://link.springer.com/article/10.1057/jibs.2016.29","Article"
"How does regional institutional complexity affect MNE internationalization?","Journal of International Business Studies","","47","6","10.1057/jibs.2016.20","Jean-Luc ArregleToyah L MillerMichael A HittPaul W Beamish","2016","http://link.springer.com/article/10.1057/jibs.2016.20","Article"
"Erratum: Do international investors enhance private firm value? Evidence from venture capital","Journal of International Business Studies","","47","5","10.1057/jibs.2016.26","Douglas CummingApril KnillKelsey Syvrud","2016","http://link.springer.com/article/10.1057/jibs.2016.26","Article"
"List of Reviewers for this Special Issue","Journal of International Business Studies","","47","5","10.1057/jibs.2016.21","","2016","http://link.springer.com/article/10.1057/jibs.2016.21","Article"
"Fragmenting global business processes: A protection for proprietary information","Journal of International Business Studies","","47","5","10.1057/jibs.2015.44","Julien GoorisCarine Peeters","2016","http://link.springer.com/article/10.1057/jibs.2015.44","Article"
"The impact of product attributes and emerging technologies on firms’ international configuration","Journal of International Business Studies","","47","5","10.1057/jibs.2016.9","Rasha RezkJagjit Singh SraiPeter J Williamson","2016","http://link.springer.com/article/10.1057/jibs.2016.9","Article"
"Global value chains from a 3D printing perspective","Journal of International Business Studies","","47","5","10.1057/jibs.2015.47","André O LaplumeBent PetersenJoshua M Pearce","2016","http://link.springer.com/article/10.1057/jibs.2015.47","Article"
"Explaining the internationalization of ibusiness firms","Journal of International Business Studies","","47","5","10.1057/jibs.2015.20","Keith D BrouthersKim Dung GeisserFranz Rothlauf","2016","http://link.springer.com/article/10.1057/jibs.2015.20","Article"
"Trans-specialization understanding in international technology alliances: The influence of cultural distance","Journal of International Business Studies","","47","5","10.1057/jibs.2016.10","Yong Kyu LewRudolf R SinkovicsMo YaminZaheer Khan","2016","http://link.springer.com/article/10.1057/jibs.2016.10","Article"
"The impact of information and communication technology adoption on multinational firm boundary decisions","Journal of International Business Studies","","47","5","10.1057/jibs.2016.6","Wenjie ChenFariha Kamal","2016","http://link.springer.com/article/10.1057/jibs.2016.6","Article"
"Internationalization in the information age: A new era for places, firms, and international business networks?","Journal of International Business Studies","","47","5","10.1057/jibs.2016.22","Juan AlcácerJohn CantwellLucia Piscitello","2016","http://link.springer.com/article/10.1057/jibs.2016.22","Article"
"Global Social Tolerance Index and multi-method country rankings sensitivity","Journal of International Business Studies","","47","4","10.1057/jibs.2016.5","Stelios H ZanakisWilliam NewburryVasyl Taras","2016","http://link.springer.com/article/10.1057/jibs.2016.5","Article"
"Media choice in multilingual virtual teams","Journal of International Business Studies","","47","4","10.1057/jibs.2016.13","Helene TenzerMarkus Pudelko","2016","http://link.springer.com/article/10.1057/jibs.2016.13","Article"
"Solving the single-country sample problem in cultural distance studies","Journal of International Business Studies","","47","4","10.1057/jibs.2016.15","Lance Eliot BrouthersVictor B MarshallDawn L Keig","2016","http://link.springer.com/article/10.1057/jibs.2016.15","Article"
"From the Editors: Experimental designs in international business research","Journal of International Business Studies","","47","4","10.1057/jibs.2016.12","Mary Zellmer-BruhnPaula CaligiuriDavid C Thomas","2016","http://link.springer.com/article/10.1057/jibs.2016.12","Article"
